"id","price"
1,0.53
2,0.72
3,1.74
4,2.54
5,4.61
6,4.82
7,9.83
8,10.61
9,12.08
10,12.53
11,12.68
12,14.72
13,14.96
14,15.31
15,15.71
16,16.3
17,19.63
18,19.84
19,20.17
20,20.36
21,21.88
22,22.49
23,23.5
24,25.1
25,25.12
26,25.7
27,26.54
28,28.59
29,30.53
30,31.35
31,32.92
32,32.93
33,33.35
34,36.87
35,37.58
36,37.73
37,39.49
38,39.75
39,40.55
40,40.69
41,40.77
42,42.98
43,43.52
44,44.31
45,44.7
46,45.23
47,46.65
48,47.82
49,48.23
50,49.62
51,50.53
52,51.89
53,54.87
54,55.4
55,56.06
56,56.86
57,58.78
58,59.53
59,59.7
60,60.79
61,62.73
62,63.01
63,63.69
64,64.9
65,66.74
66,66.93
67,70.58
68,71.32
69,72.47
70,73.02
71,73.22
72,74.16
73,74.44
74,76.41
75,79.69
76,82.35
77,83.95
78,84.23
79,84.57
80,86.65
81,86.89
82,87.17
83,88.67
84,91.46
85,92.85
86,93.65
87,98.11
88,98.14
89,98.6
90,98.9
91,99.5
92,101.29
93,101.82
94,102.69
95,104.62
96,104.99
97,105.76
98,106.75
99,106.77
100,108.23
101,108.83
102,110.16
103,111.21
104,112.12
105,113.62
106,115.48
107,117.96
108,118.49
109,118.71
110,120.62
111,122.05
112,123.29
113,124.43
114,127.69
115,129.48
116,132.24
117,132.47
118,132.84
119,133.95
120,134.24
121,135.25
122,135.98
123,138.39
124,139.25
125,139.62
126,140.4
127,140.92
128,141.01
129,141.73
130,141.94
131,145.63
132,146.71
133,149.08
134,149.67
135,149.78
136,151.09
137,151.18
138,153.57
139,154.03
140,154.29
141,154.41
142,155.1
143,158.75
144,159.05
145,159.51
146,160.24
147,160.68
148,160.99
149,161.26
150,161.66
151,162.74
152,162.78
153,162.79
154,163.28
155,163.68
156,163.8
157,166.51
158,166.84
159,167.24
160,167.7
161,168.87
162,170.34
163,170.91
164,171.24
165,172.02
166,172.04
167,172.52
168,175.2
169,176.6
170,178.71
171,179.26
172,180.33
173,180.76
174,181.86
175,183.64
176,184.11
177,184.55
178,185.37
179,188.6
180,191.35
181,191.61
182,192.01
183,192.6
184,195.78
185,196.04
186,196.67
187,199.3
188,200.34
189,201.61
190,202.01
191,203.01
192,205.69
193,206.58
194,207.1
195,207.33
196,210.01
197,211.17
